source,target,coef_abs
zic3,kirrel3l,0.018737148
gata6,agrn,0.018727303
en2a,stmn1a,0.01872643
irx6a,ncl,0.01870418
foxi3a,hmga1a,0.018688014
rx3,actb1,0.01865265
gata1a,hbae1.1,0.018636523
rorb,mycn,0.018615218
irx6a,actb2,0.018563159
sox11a,mki67,0.018562356
nkx2.7,pax7a,0.018558653
fosab,hbae1.3,0.018542793
rx3,fth1a,0.018539311
vsx1,pcna,0.018515604
sox11a,hsp90ab1,0.018472446
rx1,eif5a2,0.018457094
sox11a,ptmab,0.018422037
barhl2,fabp7a,0.018375892
hoxb3a,ptprfb,0.018369444
barx1,npm1a,0.018357983
foxi3a,eif5a2,0.018349724
fosab,ptprfb,0.018299323
foxf2b,stmn1a,0.018280715
hoxb9a,hoxc3a,0.01827163
vsx1,pabpc1a,0.018253898
foxf2b,hsp90ab1,0.018248942
zic1,mibp2,0.018247448
pknox2,pcdh19,0.018240562
FQ377628.1,stmn1a,0.018233689
etv4,cdon,0.018232545
shox2,nop56,0.018192409
sox21a,pcna,0.018189438
shox2,hmgn2,0.01818526
lhx8a,fabp7a,0.018155418
hoxa2b,pcna,0.018123616
hmga1a,fth1a,0.018122606
foxi2,pabpc1a,0.018110784
esrrga,tenm4,0.018110275
nkx2.1,sox11a,0.018105336
irx6a,c1qbp,0.018089961
hand2,cdh11,0.018070975
nr5a2,pax3a,0.01803652
ebf2,tmsb,0.018014377
rx3,hsp90ab1,0.018010186
nr2f1b,kirrel3l,0.01800146
dlx5a,hspe1,0.017986221
barx1,nop58,0.01798162
lhx9,hsp90ab1,0.017967576
nr2e1,hsp90ab1,0.017964112
sox11a,hmgb2a,0.01793538
rx1,mibp2,0.017898923
foxi2,ncl,0.017897619
bhlhe40,pax3a,0.017895466
etv4,tuba8l3,0.017893981
irx6a,nop56,0.017865099
prox1a,sox11a,0.017860845
tp53,nop56,0.017848605
foxp1b,mycn,0.017845327
tcf7l2,stmn1a,0.017838106
phox2bb,nop56,0.017829059
rx1,ccnd1,0.017785195
six3b,ncl,0.017777164
hoxb5b,tenm4,0.01773807
foxj1b,hspa8,0.017704118
pax6a,cntfr,0.017669803
twist1a,cirbpa,0.017655829
sox11a,actb1,0.0176439
irx6a,ccnd1,0.017643286
her6,npm1a,0.017631572
six3b,nop56,0.017619478
foxg1a,pax7a,0.017605636
foxd1,ncl,0.017583556
twist1a,calm1a,0.01757337
fosab,tenm4,0.017558552
ascl1a,stmn1a,0.017535873
rx1,hmga1a,0.017533146
sox11a,hmgn2,0.0175247
fli1a,pax3a,0.017471775
gsx2,pcna,0.017463537
phox2bb,ccng1,0.017453846
tfap2a,tuba8l3,0.017451206
mitfa,serbp1a,0.0174308
foxg1d,nop58,0.0174267
hmga1a,dkc1,0.017415069
etv4,sox11a,0.017363936
six3b,hsp90ab1,0.017349923
rx1,her9,0.017348604
foxg1d,serbp1a,0.0173368
sox18,tmsb,0.017335484
msx1b,ptprfb,0.017331637
hoxb3a,col28a2a,0.017329697
sox21a,si:ch73-21g5.7,0.017242616
hmx4,nop58,0.017239476
sox11b,hmga1a,0.017236834
six3b,nap1l1,0.017235084
foxa,mycn,0.017229693
nkx2.3,fthl27,0.017223295
her9,fabp11a,0.01722173
meis2a,hoxc3a,0.01720105
elf3,nop56,0.017191228
irx6a,serbp1a,0.017190712
elf3,pabpc1a,0.01718396
foxi3a,hbae1.1,0.017182639
her6,mibp2,0.017181732
etv4,ncl,0.017174676
foxi2,hsp90ab1,0.017162286
sox1b,mibp2,0.017146
meis2a,pax3a,0.017145377
fli1a,ebf3a,0.017127287
irx6a,fabp11a,0.017117197
phox2bb,tenm4,0.017113265
tfap2b,cirbpa,0.017093705
tp53,ccng1,0.017091077
hoxa2b,pabpc1a,0.017079582
nkx2.5,eif5a2,0.01707619
lbx1b,hmgn2,0.017074605
barx1,pabpc1a,0.017070446
irx6a,metap2b,0.017055381
barhl1a,cntfr,0.017043788
barx1,ptmaa,0.017042479
her9,cdon,0.017033568
zgc:101100,hmgb2a,0.017032491
tp53,sox11a,0.01702688
foxf2a,nop56,0.017023006
bcl11ab,pmp22a,0.017022496
vsx1,top2a,0.017019963
irx6a,ccng1,0.01701322
foxf2b,pcna,0.01701048
tbx18,efemp2b,0.017001085
sox6,stmn1a,0.016989673
phox2bb,ptprfb,0.016971178
foxj1b,npm1a,0.016961219
