"","degree_all","degree_in","degree_out","clustering_coefficient","clustering_coefficient_weighted","degree_centrality_all","degree_centrality_in","degree_centrality_out","betweenness_centrality","closeness_centrality","eigenvector_centrality","page_rank","assortative_coefficient","average_path_length","community_random_walk","module","connectivity","participation","role"
"sp5l",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,58.034546340469,0.000431861230523227,0.00161186507332249,-0.102579097071177,0.0516736331281503,2,2,-0.789171229518909,0,"Ultra peripheral"
"dbx1b",2,0,2,0,0,0.00476190476190476,0,0.00476190476190476,0,29.2679103440785,0.00906165163093979,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,0,-0.730278962233043,0.5,"Peripheral"
"foxa2",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,58.8162119830388,0.00333256838755137,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,4,-0.68579063029366,0,"Ultra peripheral"
"bhlhe40",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,59.0854307971933,0.00331136524067642,0.00161186507332249,-0.102579097071177,0.0516736331281503,2,1,-0.792025345216576,0,"Ultra peripheral"
"pitx3",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,59.2564395306107,0.00332037856749152,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,0,-0.730278962233043,0,"Ultra peripheral"
"barx1",2,0,2,0,0,0.00476190476190476,0,0.00476190476190476,0,29.9935909694815,0.0045772897403772,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,0,-0.414482654240376,0,"Ultra peripheral"
"hoxd12a",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,59.6550399590334,0.00383987250887554,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,4,-0.68579063029366,0,"Ultra peripheral"
"sox18",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,59.6789463658146,0.0028155771868954,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,2,-0.789171229518909,0,"Ultra peripheral"
"klf2b",3,0,3,0,0,0.00714285714285714,0,0.00714285714285714,0,20.5003214142893,0.00879005931898152,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,4,-0.457193753529107,0.444444444444445,"Peripheral"
"etv2",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,60.3241348478468,0.00360299388579549,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,0,-0.730278962233043,0,"Ultra peripheral"
"pax3b",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,60.4846331228971,0.0043870878655324,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,4,-0.68579063029366,0,"Ultra peripheral"
"spi1b",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,60.6777338808081,0.0037751533108427,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,4,-0.68579063029366,0,"Ultra peripheral"
"hey2",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,61.5494912072856,0.00413590381410754,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,4,-0.68579063029366,0,"Ultra peripheral"
"barhl1b",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,61.6429966805864,0.000727433794957064,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,0,-0.730278962233043,0,"Ultra peripheral"
"lbx1b",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,62.450102368208,0.00145922006887395,0.00161186507332249,-0.102579097071177,0.0516736331281503,2,2,-0.789171229518909,0,"Ultra peripheral"
"lmx1al",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,62.7017114055917,0.00235683754823547,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,0,-0.730278962233043,0,"Ultra peripheral"
"emx2",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,63.1319986555407,0.0031165465373086,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,0,-0.730278962233043,0,"Ultra peripheral"
"dlx4b",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,63.1595914029188,0.00403046900377556,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,4,-0.68579063029366,0,"Ultra peripheral"
"tbx3a",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,63.875405145726,0.00455402523775965,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,2,-0.789171229518909,0,"Ultra peripheral"
"dlx3b",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,63.9510329498743,0.00414929028953491,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,4,-0.68579063029366,0,"Ultra peripheral"
"lhx1b",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,64.0663050380011,0.00307109660353585,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,0,-0.730278962233043,0,"Ultra peripheral"
"mitfa",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,64.3837684656671,0.00201681999457065,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,5,-1.15201573873826,0,"Ultra peripheral"
"shox2",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,0.144667843970591,0.00257185643171249,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,2,-0.789171229518909,0,"Ultra peripheral"
"nkx2.4b",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,64.666003969458,0.00093148753650255,0.00161186507332249,-0.102579097071177,0.0516736331281503,13,4,-0.68579063029366,0,"Ultra peripheral"
"barhl1a",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,64.7067886286102,0.00248909099171474,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,0,-0.730278962233043,0,"Ultra peripheral"
"lmx1ba",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,64.7989114819654,0.00069200543623892,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,0,-0.730278962233043,0,"Ultra peripheral"
"hmgb2b",21,21,0,0.0523809523809524,0.162688945937496,0.05,0.05,0,0,NA,0.360384561766959,0.00373724205555398,-0.102579097071177,0.0516736331281503,1,5,0.0290800089390242,0.621315192743764,"Connector"
"tenm4",27,27,0,0.00854700854700855,0.00946070306402354,0.0642857142857143,0.0642857142857143,0,0,NA,0.0685695290791885,0.0130990062547177,-0.102579097071177,0.0516736331281503,2,2,2.65741332389021,0.622770919067215,"Connector Hub"
"apoc1",15,15,0,0.0476190476190476,0.0710119775400919,0.0357142857142857,0.0357142857142857,0,0,NA,0.117997693093032,0.00598276063000036,-0.102579097071177,0.0516736331281503,2,2,0.44175182527006,0.737777777777778,"Connector"
"rplp0",21,21,0,0.0523809523809524,0.114797625566373,0.05,0.05,0,0,NA,0.275445709403036,0.00334051067477249,-0.102579097071177,0.0516736331281503,1,5,0.243824690334894,0.489795918367347,"Peripheral"
"rplp1",20,20,0,0.0631578947368421,0.160241636389647,0.0476190476190476,0.0476190476190476,0,0,NA,0.306098494440071,0.00289822748404713,-0.102579097071177,0.0516736331281503,1,5,0.458569371730764,0.345,"Peripheral"
"eef2b",27,27,0,0.037037037037037,0.0975903764891425,0.0642857142857143,0.0642857142857143,0,0,NA,0.279390549037271,0.00586067713591247,-0.102579097071177,0.0516736331281503,1,5,0.351197031032829,0.631001371742113,"Connector"
"rpl12",16,16,0,0.0833333333333333,0.203877716847765,0.0380952380952381,0.0380952380952381,0,0,NA,0.300804232833014,0.00245064432347452,-0.102579097071177,0.0516736331281503,1,5,-0.0782923317589109,0.4921875,"Peripheral"
"hsp90ab1",29,29,0,0.0591133004926108,0.128378389851573,0.0690476190476191,0.0690476190476191,0,0,NA,0.322933616546951,0.00438921371234045,-0.102579097071177,0.0516736331281503,1,5,0.780686393824569,0.50653983353151,"Peripheral"
"stmn1a",34,34,0,0.0267379679144385,0.0513223093096096,0.080952380952381,0.080952380952381,0,0,NA,0.218880120504937,0.011342249496554,-0.102579097071177,0.0516736331281503,1,2,3.14978254580579,0.673010380622837,"Connector Hub"
"mdka",19,19,0,0.0175438596491228,0.0209416265161051,0.0452380952380952,0.0452380952380952,0,0,NA,0.166983975227428,0.00674251874481325,-0.102579097071177,0.0516736331281503,1,2,1.42649026910124,0.642659279778393,"Connector"
"rrm2",4,4,0,0.333333333333333,0.455292871501277,0.00952380952380952,0.00952380952380952,0,0,NA,0.161475459236316,0.00208325712716497,-0.102579097071177,0.0516736331281503,1,4,-0.228596876764554,0.375,"Peripheral"
"rpl7a",22,22,0,0.0562770562770563,0.133614243696884,0.0523809523809524,0.0523809523809524,0,0,NA,0.296498946303903,0.00415018698244251,-0.102579097071177,0.0516736331281503,1,5,0.673314053126634,0.318181818181818,"Peripheral"
"rps6",23,23,0,0.0355731225296443,0.0900838426849781,0.0547619047619048,0.0547619047619048,0,0,NA,0.277318583715457,0.00411948445491832,-0.102579097071177,0.0516736331281503,1,5,0.565941712428699,0.434782608695652,"Peripheral"
"rps2",19,19,0,0.0584795321637427,0.133188088338371,0.0452380952380952,0.0452380952380952,0,0,NA,0.245275523455403,0.00292706679686788,-0.102579097071177,0.0516736331281503,1,5,0.458569371730764,0.277008310249307,"Peripheral"
"rpl3",21,21,0,0,0,0.05,0.05,0,0,NA,0.190328730126574,0.00441105762040777,-0.102579097071177,0.0516736331281503,1,5,0.136452349636959,0.54421768707483,"Peripheral"
"rpl18a",17,17,0,0.0661764705882353,0.132848555601395,0.0404761904761905,0.0404761904761905,0,0,NA,0.214129710587933,0.00281075879664164,-0.102579097071177,0.0516736331281503,1,5,0.458569371730764,0.110726643598616,"Peripheral"
"nucks1a",18,18,0,0.0196078431372549,0.0281331661874216,0.0428571428571429,0.0428571428571429,0,0,NA,0.12643456043626,0.00524299108944628,-0.102579097071177,0.0516736331281503,1,2,1.18030565814344,0.654320987654321,"Connector"
"eif5a2",37,37,0,0.0165165165165165,0.0344467538671819,0.0880952380952381,0.0880952380952381,0,0,NA,0.199663464065777,0.0118350942524194,-0.102579097071177,0.0516736331281503,1,4,2.74316252117464,0.693937180423667,"Connector Hub"
