,source,target,coef_mean,coef_abs,p,-logp
15478,hoxb6b,usp13,0.0002907651,0.0002907651,0.007799865996281135,2.1079128585371576
15479,dlx3b,usp13,0.00015335422,0.00015335422,0.14342440444914767,0.8433769447921197
15480,vax1,usp13,0.00028840557,0.00028840557,0.00032537441447403226,3.4876166004145577
15481,dlx2b,usp13,-0.0002922135,0.0002922135,0.00013451350131235678,3.8712341227160048
15482,alx4b,usp13,-3.702461e-05,3.702461e-05,0.3631112458433553,0.43996030043416917
15483,myod1,usp13,0.0001770167,0.0001770167,0.19781852925145285,0.7037330313699416
15484,hoxb7a,usp13,0.0004818065,0.0004818065,0.00043467103630891174,3.3618392974449813
15485,myrf,usp13,-0.0003273149,0.0003273149,0.006802093865606012,2.1673573793081102
15486,sox6,usp13,9.700588e-05,9.700588e-05,0.21592188760541056,0.6657033317998607
15487,nr2f5,usp13,7.119218e-05,7.119218e-05,0.634788531781697,0.19737092789846872
15488,en1a,usp13,-0.0005421168,0.0005421168,4.423555490215248e-06,5.35422852045692
15489,drgx,usp13,-0.00010958691,0.00010958691,0.27851765005311346,0.5551472777692961
15490,dlx2a,usp13,-0.00057751365,0.00057751365,5.55610379574899e-07,6.255229649633492
15491,foxi3a,usp13,0.00013957443,0.00013957443,0.015545223817822357,1.8084030206683648
15492,hoxc6b,usp13,0.00032364062,0.00032364062,0.01304646587378704,1.8845071173969656
15493,prrx1a,usp13,-0.00025277297,0.00025277297,0.14090236737387427,0.851081710022134
15494,sox21a,usp13,-0.00062998844,0.00062998844,6.565158919412925e-06,5.182754756704928
15495,gbx1,usp13,-0.0007707053,0.0007707053,6.5976940513743615e-06,5.180607827450963
15496,rxrab,usp13,-0.0003631342,0.0003631342,0.0029573376987804528,2.52909908049824
15497,nkx2.2b,usp13,-0.00022542347,0.00022542347,0.0002779194318217724,3.5560810867673034
15498,foxd5,usp13,0.000101357145,0.000101357145,0.4201472415715374,0.3765984834219349
15499,myf5,usp13,0.00024214378,0.00024214378,0.07863360155969397,1.1043918324135966
15500,ascl1a,usp13,-0.00023415414,0.00023415414,0.010271834170678333,1.98835200050387
15501,hnf1ba,usp13,-6.031003e-05,6.031003e-05,0.47678632879194693,0.3216762059006641
