,gene,n_celltypes,celltypes,total_peaks,peaks_in_optic_cup_early,peaks_in_hatching_gland,peaks_in_unassigned,peaks_in_tail_bud_late,peaks_in_muscle,peaks_in_lateral_plate,peaks_in_PSM,peaks_in_enteric_neurons,peaks_in_hemangioblasts,peaks_in_floor_plate,peaks_in_diff_neurons,peaks_in_midbrain_hindbrain_boundary,peaks_in_NMPs,peaks_in_hematopoietic_vasculature,peaks_in_fast_muscle,peaks_in_neural,peaks_in_endoderm,peaks_in_heart_myocardium,peaks_in_hindbrain,peaks_in_notochord,peaks_in_epidermis,peaks_in_endo_pancreas,peaks_in_neural_crest
8693,sbno2a,3,"unassigned,tail_bud_late,hemangioblasts",6,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8715,gdf11,3,"hatching_gland,unassigned,floor_plate",6,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8840,fsd1,3,"optic_cup_early,unassigned,tail_bud_late",6,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8944,gfra1a,3,"optic_cup_early,unassigned,tail_bud_late",6,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,si:ch211-288d18.1,3,"unassigned,muscle,fast_muscle",6,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9224,sez6l,3,"optic_cup_early,unassigned,tail_bud_late",6,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9254,ca12,3,"unassigned,PSM,hindbrain",6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9281,ntng2a,3,"optic_cup_early,unassigned,enteric_neurons",6,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9346,tbxas1,3,"optic_cup_early,unassigned,tail_bud_late",6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9514,CABZ01073166.1,3,"optic_cup_early,unassigned,tail_bud_late",6,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9521,shisa9b,3,"optic_cup_early,unassigned,tail_bud_late",6,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9618,scn8ab,3,"unassigned,tail_bud_late,enteric_neurons",6,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9654,si:dkey-246g23.2,3,"optic_cup_early,unassigned,hemangioblasts",6,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9792,BX927351.1,3,"optic_cup_early,unassigned,tail_bud_late",6,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9844,st6galnac3,3,"unassigned,tail_bud_late,hematopoietic_vasculature",6,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9852,slco1f4,3,"optic_cup_early,unassigned,tail_bud_late",6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10139,itgb4,3,"optic_cup_early,unassigned,epidermis",6,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10166,cadm3,3,"optic_cup_early,unassigned,tail_bud_late",6,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10255,hcrtr2,3,"optic_cup_early,unassigned,tail_bud_late",6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10340,ncam1b,3,"optic_cup_early,unassigned,tail_bud_late",6,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10371,camkmt,3,"optic_cup_early,unassigned,notochord",6,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10467,faah,3,"optic_cup_early,unassigned,tail_bud_late",6,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10560,zdhhc2,3,"hatching_gland,unassigned,tail_bud_late",6,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10856,tnmd,3,"optic_cup_early,unassigned,tail_bud_late",6,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10909,wscd2,3,"optic_cup_early,unassigned,enteric_neurons",6,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11199,prkcea,3,"optic_cup_early,unassigned,tail_bud_late",6,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11256,brf1a,3,"optic_cup_early,unassigned,diff_neurons",6,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
11298,camkk1a,3,"optic_cup_early,unassigned,tail_bud_late",6,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11337,AL929222.1,3,"optic_cup_early,unassigned,diff_neurons",6,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
133,ccdc136b,3,"tail_bud_late,muscle,lateral_plate",5,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,adcy6b,3,"optic_cup_early,hatching_gland,unassigned",5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,srrm4,3,"unassigned,tail_bud_late,diff_neurons",5,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
301,glt1d1,3,"optic_cup_early,unassigned,lateral_plate",5,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,BX000522.1,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,gnai2b,3,"optic_cup_early,unassigned,tail_bud_late",5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,pam,3,"unassigned,neural,notochord",5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
474,plpp3,3,"unassigned,tail_bud_late,floor_plate",5,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
524,sort1a,3,"optic_cup_early,hatching_gland,unassigned",5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631,AL929217.1,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,klf1,3,"optic_cup_early,unassigned,hemangioblasts",5,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
691,CABZ01050944.1,3,"optic_cup_early,unassigned,neural",5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
734,ntn1b,3,"unassigned,tail_bud_late,floor_plate",5,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
760,sec14l8,3,"optic_cup_early,unassigned,hemangioblasts",5,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,zfyve1,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827,psmd1,3,"optic_cup_early,unassigned,tail_bud_late",5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,FAT4,3,"optic_cup_early,unassigned,hindbrain",5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1013,cast,3,"optic_cup_early,unassigned,tail_bud_late",5,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1122,vps4b,3,"unassigned,tail_bud_late,neural",5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1189,tlr7,3,"unassigned,tail_bud_late,epidermis",5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1200,xkr6a,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,fgd5a,3,"tail_bud_late,hematopoietic_vasculature,hindbrain",5,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
1256,tgfb2,3,"hatching_gland,unassigned,lateral_plate",5,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1261,cwc27,3,"unassigned,tail_bud_late,neural",5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1302,traf3,3,"optic_cup_early,unassigned,tail_bud_late",5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1349,slc8a4b,3,"unassigned,muscle,hemangioblasts",5,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1356,cfdp1,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1377,tead3a,3,"unassigned,tail_bud_late,muscle",5,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,pcdh1g3,3,"unassigned,tail_bud_late,floor_plate",5,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1575,atp11c,3,"optic_cup_early,unassigned,tail_bud_late",5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1678,KCNAB3,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701,mmel1,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1764,col5a3a,3,"optic_cup_early,unassigned,tail_bud_late",5,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1872,b4galnt4b,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,tdp1,3,"unassigned,tail_bud_late,hindbrain",5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1926,cdc14ab,3,"optic_cup_early,tail_bud_late,PSM",5,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,apba1a,3,"optic_cup_early,unassigned,lateral_plate",5,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2072,rspo2,3,"optic_cup_early,unassigned,neural",5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2114,recql4,3,"optic_cup_early,unassigned,tail_bud_late",5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2148,gigyf2,3,"optic_cup_early,unassigned,tail_bud_late",5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2192,cped1,3,"unassigned,tail_bud_late,hematopoietic_vasculature",5,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2214,BX004800.1,3,"optic_cup_early,unassigned,NMPs",5,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2377,LO018168.1,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2394,pdzd8,3,"unassigned,tail_bud_late,hematopoietic_vasculature",5,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2407,adam22,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2508,BX601644.7,3,"optic_cup_early,tail_bud_late,fast_muscle",5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2677,zzef1,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2680,mroh1,3,"optic_cup_early,hatching_gland,unassigned",5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2697,pdcd7,3,"optic_cup_early,hatching_gland,unassigned",5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2710,mical1,3,"optic_cup_early,unassigned,epidermis",5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2835,palm1a,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2982,dock7,3,"optic_cup_early,unassigned,endo_pancreas",5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3076,coro1b,3,"hatching_gland,unassigned,tail_bud_late",5,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3121,BX511028.2,3,"unassigned,tail_bud_late,neural_crest",5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3142,pex7,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3149,FLNB,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3157,BX663515.1,3,"unassigned,tail_bud_late,fast_muscle",5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3229,trdn,3,"unassigned,muscle,fast_muscle",5,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3237,tmod2,3,"optic_cup_early,unassigned,tail_bud_late",5,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3314,flt4,3,"unassigned,hemangioblasts,hematopoietic_vasculature",5,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3592,plxna3,3,"optic_cup_early,hatching_gland,hindbrain",5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3616,ttyh1,3,"unassigned,tail_bud_late,fast_muscle",5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3715,shq1,3,"optic_cup_early,unassigned,hematopoietic_vasculature",5,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3730,pbx1a,3,"unassigned,hemangioblasts,hindbrain",5,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3742,rps6ka3b,3,"optic_cup_early,enteric_neurons,hematopoietic_vasculature",5,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
3748,bahcc1a,3,"unassigned,tail_bud_late,PSM",5,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943,per2,3,"optic_cup_early,unassigned,heart_myocardium",5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3958,synj1,3,"unassigned,tail_bud_late,hemangioblasts",5,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4092,hivep3a,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4122,lmbrd1,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4177,BX957306.1,3,"optic_cup_early,tail_bud_late,muscle",5,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4190,kcnip3a,3,"unassigned,tail_bud_late,enteric_neurons",5,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4356,si:ch211-159i8.4,3,"optic_cup_early,unassigned,fast_muscle",5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4375,map3k22,3,"unassigned,tail_bud_late,hematopoietic_vasculature",5,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4404,ano3,3,"optic_cup_early,unassigned,tail_bud_late",5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4410,erbin,3,"optic_cup_early,tail_bud_late,hindbrain",5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4416,RAP1GAP,3,"hatching_gland,unassigned,tail_bud_late",5,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4499,slc4a10b,3,"optic_cup_early,unassigned,tail_bud_late",5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505,dgkzb,3,"hatching_gland,unassigned,tail_bud_late",5,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4649,ca9,3,"unassigned,tail_bud_late,notochord",5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807,drg2,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4825,gask1a,3,"unassigned,muscle,PSM",5,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4893,slco1c1,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4894,gabrb2a,3,"hatching_gland,unassigned,tail_bud_late",5,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4955,cspg4,3,"unassigned,tail_bud_late,notochord",5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5038,nrxn2b,3,"optic_cup_early,unassigned,diff_neurons",5,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5097,megf10,3,"unassigned,muscle,fast_muscle",5,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5309,zbtb4,3,"unassigned,tail_bud_late,floor_plate",5,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5351,si:ch211-57n23.4,3,"diff_neurons,midbrain_hindbrain_boundary,hindbrain",5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0
5390,si:dkey-24l11.2,3,"optic_cup_early,unassigned,muscle",5,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5396,smap1,3,"optic_cup_early,hatching_gland,tail_bud_late",5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5485,ndst1b,3,"tail_bud_late,muscle,PSM",5,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5491,si:dkey-30e9.7,3,"unassigned,muscle,fast_muscle",5,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5663,gripap1,3,"optic_cup_early,unassigned,tail_bud_late",5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5794,gria4b,3,"unassigned,tail_bud_late,hindbrain",5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5805,grk5l,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5856,itpk1b,3,"optic_cup_early,unassigned,tail_bud_late",5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5878,galnt2,3,"optic_cup_early,hatching_gland,unassigned",5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6014,lasp1,3,"optic_cup_early,unassigned,tail_bud_late",5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6113,erbb3a,3,"unassigned,tail_bud_late,hindbrain",5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6157,pcmtd1,3,"unassigned,tail_bud_late,NMPs",5,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6186,ADGRL3,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6211,sox6,3,"unassigned,PSM,NMPs",5,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6235,zgc:103510,3,"hatching_gland,unassigned,tail_bud_late",5,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6430,pde4ba,3,"optic_cup_early,unassigned,hematopoietic_vasculature",5,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6462,sema4ba,3,"optic_cup_early,unassigned,fast_muscle",5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6496,taf3,3,"optic_cup_early,unassigned,tail_bud_late",5,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6506,nf1b,3,"optic_cup_early,unassigned,endo_pancreas",5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6549,sept5b,3,"optic_cup_early,tail_bud_late,muscle",5,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6556,si:dkey-192p21.6,3,"unassigned,tail_bud_late,diff_neurons",5,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6576,kcnip3b,3,"optic_cup_early,unassigned,enteric_neurons",5,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6669,CABZ01069040.1,3,"unassigned,tail_bud_late,hemangioblasts",5,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6835,pum2,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6883,nbn,3,"unassigned,tail_bud_late,PSM",5,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6890,CPNE8,3,"hatching_gland,unassigned,tail_bud_late",5,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6975,kcnn4,3,"unassigned,muscle,neural",5,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7050,ece2b,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7097,BX569790.1,3,"unassigned,muscle,PSM",5,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7180,ripor3,3,"unassigned,tail_bud_late,hemangioblasts",5,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7277,tshz2,3,"optic_cup_early,unassigned,hindbrain",5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7327,si:ch211-197l9.2,3,"optic_cup_early,unassigned,muscle",5,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7343,man2a1,3,"unassigned,hematopoietic_vasculature,neural_crest",5,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7443,sorl1,3,"hatching_gland,unassigned,fast_muscle",5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7511,p3h2,3,"optic_cup_early,unassigned,tail_bud_late",5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7576,BX927394.1,3,"unassigned,PSM,NMPs",5,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7584,aak1a,3,"unassigned,muscle,fast_muscle",5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7602,ntrk2a,3,"unassigned,tail_bud_late,enteric_neurons",5,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7604,edar,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7754,pgd,3,"optic_cup_early,unassigned,epidermis",5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7772,nlgn2b,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7818,tbx16,3,"unassigned,hemangioblasts,NMPs",5,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
7844,reps1,3,"hatching_gland,unassigned,tail_bud_late",5,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7853,FO704771.1,3,"optic_cup_early,unassigned,tail_bud_late",5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7943,SLC66A2,3,"unassigned,NMPs,hematopoietic_vasculature",5,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
7967,ptprsa,3,"unassigned,tail_bud_late,muscle",5,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8149,BX537104.1,3,"unassigned,tail_bud_late,diff_neurons",5,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8247,vwc2l,3,"optic_cup_early,unassigned,tail_bud_late",5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8296,mllt3,3,"tail_bud_late,PSM,NMPs",5,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
8300,c2cd2l,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8304,ptgir,3,"optic_cup_early,unassigned,tail_bud_late",5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8422,mtx1b,3,"unassigned,tail_bud_late,lateral_plate",5,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8495,si:dkey-172k15.6,3,"optic_cup_early,unassigned,tail_bud_late",5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
