cluster_id,peak_celltype,peak_timepoint,n_celltypes,n_total_tfs,most_ubiquitous_tf,most_specific_tf
7_10,endocrine_pancreas,30,11,3,sox6,FQ377628.1
7_11,differentiating_neurons,30,0,0,,
7_12,neural_crest,30,1,1,sox1a,sox1a
7_13,endoderm,30,0,0,,
7_2,hatching_gland,15,10,3,gfi1ab,gfi1aa
7_3,neural_crest,20,3,4,sox3,sox3
7_4,differentiating_neurons,30,31,17,nr2f1b,nr5a2
7_5,endoderm,30,5,6,FQ377628.1,sox10
7_6,tail_bud,05,27,14,foxd3,foxc1b
7_7,muscle,20,16,3,foxd3,foxf1
7_9,lateral_plate_mesoderm,30,2,1,sox6,sox6
8_0,lateral_plate_mesoderm,00,3,2,egr2b,egr1
8_1,notochord,10,0,0,,
8_2,neural,20,31,11,nr2f1b,pparaa
8_3,neural_optic,00,2,2,egr2b,egr2b
8_4,lateral_plate_mesoderm,30,2,1,raraa,raraa
8_5,lateral_plate_mesoderm,30,28,14,rxraa,thrab
9_2,enteric_neurons,30,0,0,,
9_3,enteric_neurons,30,0,0,,
9_4,enteric_neurons,30,0,0,,
