	leiden_v1_r0.5	leiden_v2_r0.7	celltype1	celltype2	manual_annotation
spon2a	8	10	notochord	floor_plate	unassigned
kcnma1a	1	0	hatching_gland	fast_muscle	unassigned
malb	2	6	hatching_gland	endocrine_pancreas	unassigned
UNC13B	1	0	hatching_gland	endocrine_pancreas	unassigned
zgc:63972	9	12	neural_telencephalon	floor_plate	unassigned
mfap4	4	2	hematopoietic_vasculature	neural_telencephalon	unassigned
cavin1b	8	10	enteric_neurons	pharyngeal_arches	unassigned
tagln2	3	4	epidermis	endocrine_pancreas	unassigned
glra1	0	1	neural_optic	neural_telencephalon	unassigned
pygmb	0	2	PSM	neural_telencephalon	unassigned
pkhd1l1	2	6	endocrine_pancreas	hatching_gland	unassigned
col9a1b	8	10	notochord	floor_plate	unassigned
si:ch73-281n10.2	1	11	PSM	tail_bud	unassigned
si:ch73-215f7.1	0	2	neural_optic	neural_telencephalon	unassigned
nid1a	6	5	somites	fast_muscle	unassigned
si:rp71-81e14.2	8	10	notochord	hematopoietic_vasculature	unassigned
hoxb7a	3	4	spinal_cord	PSM	unassigned
ngfrb	0	1	epidermis	enteric_neurons	unassigned
dek	1	11	NMPs	neural_telencephalon	unassigned
matn4	6	3	pronephros	fast_muscle	unassigned
ksr1b	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
her4.4	0	2	NMPs	spinal_cord	unassigned
si:ch73-299h12.2	4	7	hemangioblasts	pronephros	unassigned
adck1	1	0	hatching_gland	hemangioblasts	unassigned
ptprfa	1	3	endocrine_pancreas	endoderm	unassigned
adamts15b.1	2	9	spinal_cord	enteric_neurons	unassigned
ppm1e	1	0	enteric_neurons	neural_optic	unassigned
hnmt	6	5	muscle	notochord	unassigned
uckl1b	6	5	muscle	fast_muscle	unassigned
pcsk5b	1	0	endocrine_pancreas	notochord	unassigned
itpr3	2	6	hatching_gland	epidermis	unassigned
pde11al	5	3	heart_myocardium	neural_floor_plate	unassigned
cldnb	3	4	hatching_gland	endocrine_pancreas	unassigned
arhgap32b	1	0	neural_telencephalon	optic_cup	unassigned
CDH18	1	0	optic_cup	hematopoietic_vasculature	unassigned
acer2	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
her4.2.1	0	2	neural_posterior	spinal_cord	unassigned
fosl1a	3	4	epidermis	hematopoietic_vasculature	unassigned
myh9b	5	3	heart_myocardium	pharyngeal_arches	unassigned
b3gnt7	8	10	notochord	hematopoietic_vasculature	unassigned
tnn	0	1	hematopoietic_vasculature	enteric_neurons	unassigned
apoa1b	1	0	floor_plate	endocrine_pancreas	unassigned
noxo1b	8	10	endoderm	neural_telencephalon	unassigned
glsl	0	1	neurons	neural_posterior	unassigned
ctslb	2	6	hatching_gland	enteric_neurons	unassigned
esrra	3	4	PSM	tail_bud	unassigned
emx3	0	2	neural_optic	epidermis	unassigned
hemgn	4	7	endocrine_pancreas	hemangioblasts	unassigned
kcnn2	0	2	neurons	optic_cup	unassigned
CABZ01058647.1	4	2	somites	notochord	unassigned
adora2aa	4	7	epidermis	pharyngeal_arches	unassigned
itga9	3	4	somites	lateral_plate_mesoderm	unassigned
CABZ01050944.1	0	3	notochord	muscle	unassigned
ier2a	3	4	hematopoietic_vasculature	PSM	unassigned
sox3	0	2	neural_posterior	neurons	unassigned
etv4	3	4	notochord	PSM	unassigned
FP102018.1	8	10	notochord	endocrine_pancreas	unassigned
foxo6b	0	8	neural_telencephalon	neural_crest	unassigned
nbeaa	0	1	differentiating_neurons	enteric_neurons	unassigned
hif1al2	4	7	hemangioblasts	endocrine_pancreas	unassigned
fosb	7	8	NMPs	enteric_neurons	unassigned
sigirr	7	13	endocrine_pancreas	pronephros	unassigned
tbx20	5	3	heart_myocardium	hematopoietic_vasculature	unassigned
thbs3b	5	3	pharyngeal_arches	heart_myocardium	unassigned
cavin4b	6	5	muscle	fast_muscle	unassigned
hoxc9a	3	4	NMPs	tail_bud	unassigned
olig3	0	2	neurons	neural_floor_plate	unassigned
irx3b	0	2	spinal_cord	neural_posterior	unassigned
stmn1a	1	11	NMPs	heart_myocardium	unassigned
eepd1	2	6	hatching_gland	hematopoietic_vasculature	unassigned
camk1da	0	1	differentiating_neurons	hematopoietic_vasculature	unassigned
BX942846.1	2	6	hatching_gland	muscle	unassigned
serpinf1	8	10	pharyngeal_arches	notochord	unassigned
RAP1GAP	2	6	hatching_gland	somites	unassigned
creb5a	7	8	pronephros	neural_posterior	unassigned
gli3	1	2	neurons	midbrain_hindbrain_boundary	unassigned
fgf14	0	1	differentiating_neurons	neural_telencephalon	unassigned
cyth3a	7	3	pronephros	muscle	unassigned
zgc:101583	8	10	hemangioblasts	notochord	unassigned
TANC2	1	0	muscle	neural_floor_plate	unassigned
b4galnt1a	6	5	muscle	enteric_neurons	unassigned
capn2b	2	6	hatching_gland	endocrine_pancreas	unassigned
tmem14ca	4	7	hemangioblasts	muscle	unassigned
hoxc13a	3	4	NMPs	tail_bud	unassigned
prdm8	0	2	spinal_cord	differentiating_neurons	unassigned
sox11b	1	0	differentiating_neurons	neural_optic	unassigned
myo10	1	0	pharyngeal_arches	hematopoietic_vasculature	unassigned
map4l	0	1	enteric_neurons	differentiating_neurons	unassigned
npr3	5	3	hatching_gland	hematopoietic_vasculature	unassigned
si:dkey-238m4.3	2	6	spinal_cord	hatching_gland	unassigned
hsp70.2	6	5	muscle	fast_muscle	unassigned
brinp2	0	2	hindbrain	hematopoietic_vasculature	unassigned
iqsec1b	1	0	hematopoietic_vasculature	hatching_gland	unassigned
si:ch211-120e1.7	5	1	NMPs	lateral_plate_mesoderm	unassigned
si:ch211-149e23.4	6	5	muscle	fast_muscle	unassigned
csf3r	4	7	hematopoietic_vasculature	hatching_gland	unassigned
ppp2cb	1	11	epidermis	notochord	unassigned
lmo7a	8	10	notochord	fast_muscle	unassigned
skor2	0	1	enteric_neurons	neural	unassigned
wnt10a	2	9	tail_bud	epidermis	unassigned
twist2	8	10	notochord	pharyngeal_arches	unassigned
zmp:0000001114	2	6	hatching_gland	endocrine_pancreas	unassigned
ckmb	4	2	muscle	fast_muscle	unassigned
caly	0	2	neural	neurons	unassigned
ak1	6	5	somites	fast_muscle	unassigned
dlx6a	0	1	epidermis	neural_floor_plate	unassigned
si:ch73-103b9.2	7	13	spinal_cord	floor_plate	unassigned
gria1a	0	1	differentiating_neurons	muscle	unassigned
vstm4a	2	9	somites	notochord	unassigned
RAPGEF4	4	7	hematopoietic_vasculature	enteric_neurons	unassigned
mgst1.2	3	4	tail_bud	PSM	unassigned
AL954137.2	5	3	heart_myocardium	endoderm	unassigned
myt1a	0	1	enteric_neurons	differentiating_neurons	unassigned
rasd1	2	6	hatching_gland	notochord	unassigned
si:dkey-12j5.1	1	0	pronephros	optic_cup	unassigned
tafa5b	0	6	neural	neural_telencephalon	unassigned
shox	0	1	enteric_neurons	differentiating_neurons	unassigned
hmmr	1	11	midbrain_hindbrain_boundary	NMPs	unassigned
nfia	1	0	neural_telencephalon	spinal_cord	unassigned
hdac9b	6	5	muscle	neural	unassigned
tmsb4x	1	11	neural_floor_plate	neural_posterior	unassigned
asb5b	0	1	hatching_gland	enteric_neurons	unassigned
hoxd3a	3	4	NMPs	tail_bud	unassigned
ryr3	2	6	hatching_gland	neural_telencephalon	unassigned
obscnb	6	5	muscle	fast_muscle	unassigned
dgkg	8	10	notochord	lateral_plate_mesoderm	unassigned
ebf3a	0	3	pharyngeal_arches	enteric_neurons	unassigned
wnt8b	0	2	hindbrain	midbrain_hindbrain_boundary	unassigned
si:dkey-288a3.2	3	4	tail_bud	PSM	unassigned
mtbl	0	2	optic_cup	enteric_neurons	unassigned
cadm1a	0	2	neural_optic	spinal_cord	unassigned
antxr1a	4	1	pharyngeal_arches	somites	unassigned
dlgap2b	6	5	notochord	endocrine_pancreas	unassigned
tsga10	7	13	floor_plate	pronephros	unassigned
esrp1	2	9	epidermis	endocrine_pancreas	unassigned
tmem237a	8	10	hatching_gland	lateral_plate_mesoderm	unassigned
tpx2	1	11	NMPs	hemangioblasts	unassigned
rhpn2	2	9	epidermis	endocrine_pancreas	unassigned
dcn	5	3	epidermis	lateral_plate_mesoderm	unassigned
bmper	5	3	hemangioblasts	hematopoietic_vasculature	unassigned
or111-7	8	10	pharyngeal_arches	hatching_gland	unassigned
lamc3	5	3	pharyngeal_arches	lateral_plate_mesoderm	unassigned
panx3	5	3	lateral_plate_mesoderm	hematopoietic_vasculature	unassigned
tuba1c	0	2	spinal_cord	enteric_neurons	unassigned
ccdc24	7	13	spinal_cord	neural_posterior	unassigned
muc2.2	3	4	neural	hindbrain	unassigned
nitr10a	7	8	notochord	enteric_neurons	unassigned
f13a1b	4	7	hemangioblasts	hematopoietic_vasculature	unassigned
ulk1b	1	0	differentiating_neurons	neural_posterior	unassigned
sept12	1	0	hematopoietic_vasculature	epidermis	unassigned
hmgb2a	1	11	neural_telencephalon	neural_posterior	unassigned
adamts10	6	5	fast_muscle	muscle	unassigned
adgrg6	2	9	epidermis	neural_crest	unassigned
laynb	8	10	notochord	hematopoietic_vasculature	unassigned
nos1apa.1	1	0	notochord	spinal_cord	unassigned
klf1	4	7	hemangioblasts	neural_telencephalon	unassigned
elovl6	1	0	hatching_gland	neural_telencephalon	unassigned
jam2a	1	11	fast_muscle	somites	unassigned
plk1	1	11	hemangioblasts	PSM	unassigned
slc20a1a	4	7	endocrine_pancreas	hemangioblasts	unassigned
tenm4	0	2	neural_posterior	midbrain_hindbrain_boundary	unassigned
mpp1	1	0	hematopoietic_vasculature	hatching_gland	unassigned
si:dkey-79d12.6	7	8	neural_telencephalon	heart_myocardium	unassigned
aplnr2	3	4	notochord	floor_plate	unassigned
capn8	3	4	epidermis	enteric_neurons	unassigned
tnnc1a	0	2	heart_myocardium	enteric_neurons	unassigned
ctsk	5	3	hematopoietic_vasculature	lateral_plate_mesoderm	unassigned
vax2	0	2	optic_cup	neural_telencephalon	unassigned
fras1	1	0	neural_telencephalon	muscle	unassigned
cadpsb	0	1	enteric_neurons	differentiating_neurons	unassigned
ssh1a	7	8	hematopoietic_vasculature	neural_floor_plate	unassigned
tram1	1	0	hatching_gland	notochord	unassigned
cnksr2a	7	8	endocrine_pancreas	endoderm	unassigned
ahnak	5	3	somites	epidermis	unassigned
hspg2	1	0	notochord	epidermis	unassigned
tbx16l	3	4	tail_bud	NMPs	unassigned
syt7a	8	1	hatching_gland	notochord	unassigned
crlf1a	1	3	lateral_plate_mesoderm	epidermis	unassigned
pax1a	2	9	endocrine_pancreas	neural_telencephalon	unassigned
aurkb	1	11	hemangioblasts	NMPs	unassigned
dtnbb	0	1	endocrine_pancreas	enteric_neurons	unassigned
capn1b	2	6	hatching_gland	endocrine_pancreas	unassigned
KIRREL3.1	0	2	optic_cup	differentiating_neurons	unassigned
sgms1	3	4	lateral_plate_mesoderm	pharyngeal_arches	unassigned
dhx32b	0	2	neural_telencephalon	differentiating_neurons	unassigned
esyt1a	2	6	hatching_gland	notochord	unassigned
arhgef19	8	10	notochord	neural	unassigned
MYORG	2	6	midbrain_hindbrain_boundary	notochord	unassigned
dlx5a	0	2	epidermis	neural_crest	unassigned
igf2bp1	1	0	neural_floor_plate	neural_posterior	unassigned
ccdc146	7	13	hemangioblasts	floor_plate	unassigned
pim2	2	6	hatching_gland	hemangioblasts	unassigned
kcnq1.2	2	6	lateral_plate_mesoderm	neural_telencephalon	unassigned
angptl2b	0	2	spinal_cord	NMPs	unassigned
cxcr3.1	7	8	enteric_neurons	epidermis	unassigned
gad1b	0	1	spinal_cord	differentiating_neurons	unassigned
hoxb9a	3	4	spinal_cord	NMPs	unassigned
mical2b	2	6	hatching_gland	endoderm	unassigned
trip10a	5	3	endoderm	hematopoietic_vasculature	unassigned
si:dkey-193c22.1	2	6	hatching_gland	hematopoietic_vasculature	unassigned
ntn2	8	10	notochord	muscle	unassigned
cldn19	0	2	lateral_plate_mesoderm	pharyngeal_arches	unassigned
dpysl5a	0	2	neural_posterior	differentiating_neurons	unassigned
dbx1b	0	2	neural_telencephalon	midbrain_hindbrain_boundary	unassigned
or109-7	7	8	pharyngeal_arches	fast_muscle	unassigned
col6a2	8	10	notochord	lateral_plate_mesoderm	unassigned
she	4	7	hematopoietic_vasculature	spinal_cord	unassigned
setx	3	4	hemangioblasts	hematopoietic_vasculature	unassigned
DST	0	1	differentiating_neurons	enteric_neurons	unassigned
fa2h	2	6	endoderm	hatching_gland	unassigned
c1ql4a	2	6	hatching_gland	endocrine_pancreas	unassigned
angpt4	5	3	PSM	endoderm	unassigned
cdk6	1	2	hindbrain	differentiating_neurons	unassigned
pawr	2	9	hatching_gland	endocrine_pancreas	unassigned
fzd8a	1	0	neural_telencephalon	endocrine_pancreas	unassigned
snd1	1	0	hatching_gland	notochord	unassigned
tnnc2	6	5	muscle	fast_muscle	unassigned
dnah1	7	13	NMPs	hemangioblasts	unassigned
vegfc	0	2	hematopoietic_vasculature	floor_plate	unassigned
ppfibp1a	3	4	heart_myocardium	lateral_plate_mesoderm	unassigned
cfap57	7	13	heart_myocardium	spinal_cord	unassigned
b4galt2	0	1	differentiating_neurons	enteric_neurons	unassigned
itprid2	1	3	hematopoietic_vasculature	hemangioblasts	unassigned
mindy3	1	0	optic_cup	enteric_neurons	unassigned
PHF21B	0	2	spinal_cord	differentiating_neurons	unassigned
lrrc39	6	5	muscle	notochord	unassigned
palm3	2	9	endocrine_pancreas	epidermis	unassigned
sema3ga	0	2	spinal_cord	hindbrain	unassigned
aff3	8	10	notochord	NMPs	unassigned
fgf18a	0	1	enteric_neurons	lateral_plate_mesoderm	unassigned
atp1b3a	1	0	neural	optic_cup	unassigned
gfra1a	3	4	pronephros	endoderm	unassigned
pbxip1b	6	5	muscle	hatching_gland	unassigned
smad6b	1	0	epidermis	heart_myocardium	unassigned
slc43a1b	6	5	muscle	fast_muscle	unassigned
zgc:165603	0	1	differentiating_neurons	neural_telencephalon	unassigned
mctp2b	2	6	hatching_gland	endoderm	unassigned
ntn5	6	5	somites	muscle	unassigned
calr3a	1	0	hatching_gland	notochord	unassigned
pls3	5	3	epidermis	endoderm	unassigned
vaspb	1	0	epidermis	somites	unassigned
cacng2a	0	1	optic_cup	differentiating_neurons	unassigned
nrp2b	3	4	lateral_plate_mesoderm	heart_myocardium	unassigned
dennd4a	2	6	lateral_plate_mesoderm	hatching_gland	unassigned
CU539054.1	2	6	hatching_gland	neural_telencephalon	unassigned
si:ch211-129c21.1	2	6	hatching_gland	epidermis	unassigned
si:dkey-261m9.12	1	0	floor_plate	neural_floor_plate	unassigned
fam110b	0	1	differentiating_neurons	midbrain_hindbrain_boundary	unassigned
barx1	4	1	endocrine_pancreas	pharyngeal_arches	unassigned
cmn	8	10	notochord	hatching_gland	unassigned
spock3	0	1	hematopoietic_vasculature	differentiating_neurons	unassigned
chrna1	6	5	muscle	fast_muscle	unassigned
ccdc80l1	7	8	neural	neural_crest	unassigned
ptprt	0	2	hatching_gland	neural_telencephalon	unassigned
galnt1	1	0	hematopoietic_vasculature	tail_bud	unassigned
abca1a	1	0	enteric_neurons	differentiating_neurons	unassigned
thsd7ab	1	3	heart_myocardium	endocrine_pancreas	unassigned
dlx4b	3	4	epidermis	enteric_neurons	unassigned
si:ch73-347e22.8	2	6	floor_plate	midbrain_hindbrain_boundary	unassigned
gfi1aa	4	7	hemangioblasts	hematopoietic_vasculature	unassigned
nrg2b	0	1	notochord	differentiating_neurons	unassigned
lhx9	0	2	neural_optic	optic_cup	unassigned
chpfa	3	4	endoderm	pronephros	unassigned
hbae5	4	7	hemangioblasts	hematopoietic_vasculature	unassigned
roraa	0	2	midbrain_hindbrain_boundary	floor_plate	unassigned
epb41b	4	7	hemangioblasts	heart_myocardium	unassigned
klf7b	1	0	enteric_neurons	differentiating_neurons	unassigned
tmem120a	4	7	hemangioblasts	muscle	unassigned
myo10l1	7	8	neural_crest	neural	unassigned
apobb.1	1	0	neural	muscle	unassigned
admp	8	10	notochord	NMPs	unassigned
tet2	0	2	neural_optic	neurons	unassigned
cntnap2b	0	1	enteric_neurons	differentiating_neurons	unassigned
sdk1b	1	0	optic_cup	neural_posterior	unassigned
si:dkey-126g1.7	0	1	hematopoietic_vasculature	pronephros	unassigned
cplx2l	0	1	differentiating_neurons	enteric_neurons	unassigned
ppdpfa	6	5	muscle	fast_muscle	unassigned
si:dkey-35m8.1	0	2	neural_posterior	floor_plate	unassigned
dtnbp1b	3	4	tail_bud	NMPs	unassigned
glula	1	0	fast_muscle	somites	unassigned
furina	1	0	hatching_gland	endocrine_pancreas	unassigned
nr2f2	0	2	neural_floor_plate	somites	unassigned
cyp24a1	2	12	endocrine_pancreas	endoderm	unassigned
ELOB	7	8	PSM	fast_muscle	unassigned
zdhhc22	0	1	tail_bud	differentiating_neurons	unassigned
six6a	0	2	neural_telencephalon	neural_optic	unassigned
slc12a2	1	11	notochord	hematopoietic_vasculature	unassigned
kazald2	3	4	somites	PSM	unassigned
zgc:162879	2	6	hatching_gland	neural_telencephalon	unassigned
adgre7	7	8	neural_floor_plate	hindbrain	unassigned
vps8	1	0	notochord	differentiating_neurons	unassigned
evx1.1	2	9	NMPs	tail_bud	unassigned
cacna1g	5	3	muscle	heart_myocardium	unassigned
chata	0	1	differentiating_neurons	enteric_neurons	unassigned
ighv4-2	8	10	neural_posterior	neural_crest	unassigned
prdm13	0	2	neurons	spinal_cord	unassigned
ugt1b3	7	8	midbrain_hindbrain_boundary	optic_cup	unassigned
gpc5b	7	8	pronephros	somites	unassigned
slc9a1b	4	7	hemangioblasts	hematopoietic_vasculature	unassigned
sox6	1	0	neural_crest	fast_muscle	unassigned
sox8a	2	6	hatching_gland	muscle	unassigned
icn	4	2	hatching_gland	endocrine_pancreas	unassigned
pdgfba	2	9	endocrine_pancreas	epidermis	unassigned
znfl2a	1	11	hemangioblasts	NMPs	unassigned
kcnq2a	4	7	hemangioblasts	hematopoietic_vasculature	unassigned
si:dkey-172j4.3	6	5	fast_muscle	muscle	unassigned
ripor1	1	0	heart_myocardium	hindbrain	unassigned
sorbs3	0	2	neural_posterior	epidermis	unassigned
rhoub	1	0	optic_cup	neural	unassigned
si:rp71-79p20.2	2	3	hatching_gland	endocrine_pancreas	unassigned
b4galnt4a	0	1	hindbrain	differentiating_neurons	unassigned
shisa2a	3	4	neural_telencephalon	optic_cup	unassigned
lmx1bb	1	2	midbrain_hindbrain_boundary	lateral_plate_mesoderm	unassigned
dipk2b	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
mxd4	5	3	notochord	endoderm	unassigned
stmn3	0	1	differentiating_neurons	enteric_neurons	unassigned
CR354612.1	7	8	fast_muscle	muscle	unassigned
srgap3	0	2	neurons	differentiating_neurons	unassigned
st3gal3b	1	0	hemangioblasts	lateral_plate_mesoderm	unassigned
si:dkey-31j3.11	5	3	lateral_plate_mesoderm	notochord	unassigned
unc13a	0	1	differentiating_neurons	hematopoietic_vasculature	unassigned
b3gnt7l	8	10	notochord	NMPs	unassigned
sipa1l1	1	0	notochord	hindbrain	unassigned
si:dkey-248g15.3	2	6	hatching_gland	floor_plate	unassigned
pard3ba	1	0	lateral_plate_mesoderm	neural	unassigned
gfra1b	3	4	spinal_cord	pronephros	unassigned
tnni1b	0	2	heart_myocardium	hatching_gland	unassigned
prom1b	3	4	neural_telencephalon	midbrain_hindbrain_boundary	unassigned
lamb1a	3	4	epidermis	lateral_plate_mesoderm	unassigned
cadps2	2	6	hatching_gland	neural_optic	unassigned
ascl1a	0	2	neural_optic	neural_telencephalon	unassigned
si:dkey-178k16.1	0	1	enteric_neurons	differentiating_neurons	unassigned
si:dkeyp-118a3.2	8	10	notochord	NMPs	unassigned
si:ch73-23l24.1	8	10	notochord	NMPs	unassigned
kdm6bb	5	3	hematopoietic_vasculature	lateral_plate_mesoderm	unassigned
ptgdsb.2	3	4	spinal_cord	neural_floor_plate	unassigned
ahr2	5	3	pharyngeal_arches	endocrine_pancreas	unassigned
AL935186.10	1	0	neural_telencephalon	hematopoietic_vasculature	unassigned
si:dkey-83f18.15	7	8	heart_myocardium	hematopoietic_vasculature	unassigned
OSBP2	4	7	hemangioblasts	notochord	unassigned
plxnb3	1	0	enteric_neurons	differentiating_neurons	unassigned
dcc	0	1	differentiating_neurons	enteric_neurons	unassigned
zgc:77158	1	0	epidermis	hematopoietic_vasculature	unassigned
si:ch211-163l21.10	2	6	hatching_gland	floor_plate	unassigned
klhl40b	6	5	muscle	fast_muscle	unassigned
baiap2l1a	2	6	hatching_gland	endocrine_pancreas	unassigned
dchs1b	1	3	lateral_plate_mesoderm	pharyngeal_arches	unassigned
cdon	1	0	neural	neural_crest	unassigned
cahz	4	7	hatching_gland	hemangioblasts	unassigned
ved	3	4	tail_bud	NMPs	unassigned
psme4a	8	10	notochord	lateral_plate_mesoderm	unassigned
cdh15	6	5	muscle	fast_muscle	unassigned
hdac4	1	0	heart_myocardium	pronephros	unassigned
dnajb2	6	5	muscle	fast_muscle	unassigned
adarb1b	1	0	differentiating_neurons	neurons	unassigned
tanc2a	1	0	spinal_cord	differentiating_neurons	unassigned
twistnb	1	11	fast_muscle	hemangioblasts	unassigned
blf	4	7	hemangioblasts	tail_bud	unassigned
hdlbpa	1	0	hatching_gland	notochord	unassigned
chrm2b	2	6	NMPs	hematopoietic_vasculature	unassigned
snx9a	4	7	hemangioblasts	endoderm	unassigned
nkx1.2lb	0	1	lateral_plate_mesoderm	endocrine_pancreas	unassigned
pomcb	5	3	pharyngeal_arches	heart_myocardium	unassigned
epb41l4a	0	2	differentiating_neurons	endocrine_pancreas	unassigned
en2b	0	2	midbrain_hindbrain_boundary	floor_plate	unassigned
nkx6.1	0	2	differentiating_neurons	neural_floor_plate	unassigned
fgf17	3	4	muscle	PSM	unassigned
hivep3a	0	1	differentiating_neurons	enteric_neurons	unassigned
si:ch211-122l14.7	5	3	neural_telencephalon	pharyngeal_arches	unassigned
CT583723.2	9	12	muscle	fast_muscle	unassigned
tmx3a	7	8	hatching_gland	neural_crest	unassigned
pou4f1	0	1	enteric_neurons	differentiating_neurons	unassigned
nrcama	0	1	enteric_neurons	differentiating_neurons	unassigned
si:ch211-222l21.1	1	11	neural_optic	neurons	unassigned
tfap2c	3	4	epidermis	neural	unassigned
sorbs1	5	3	somites	fast_muscle	unassigned
sez6b	0	1	differentiating_neurons	enteric_neurons	unassigned
oclna	2	9	epidermis	endocrine_pancreas	unassigned
CR759836.1	5	3	endocrine_pancreas	endoderm	unassigned
si:dkey-192g7.3	4	7	hematopoietic_vasculature	hindbrain	unassigned
myo18ab	1	0	muscle	fast_muscle	unassigned
tmem132e	1	0	epidermis	enteric_neurons	unassigned
itpk1a	2	6	hatching_gland	endoderm	unassigned
sh3d21	2	9	epidermis	endocrine_pancreas	unassigned
mhc1uma	2	6	epidermis	enteric_neurons	unassigned
zgc:194398	9	12	hematopoietic_vasculature	lateral_plate_mesoderm	unassigned
htra1a	8	10	notochord	NMPs	unassigned
phactr2	5	3	hematopoietic_vasculature	muscle	unassigned
eya4	5	3	pharyngeal_arches	lateral_plate_mesoderm	unassigned
wu:fb59d01	3	4	hemangioblasts	NMPs	unassigned
ube2s	1	11	hemangioblasts	tail_bud	unassigned
MYADM.1	5	3	pharyngeal_arches	lateral_plate_mesoderm	unassigned
npffr1l2	8	10	notochord	muscle	unassigned
cadm1b	0	1	endocrine_pancreas	epidermis	unassigned
jcada	3	4	tail_bud	PSM	unassigned
afp4	1	0	hematopoietic_vasculature	hatching_gland	unassigned
dqx1	2	6	heart_myocardium	hemangioblasts	unassigned
dla	0	2	enteric_neurons	differentiating_neurons	unassigned
qki2	1	0	muscle	hindbrain	unassigned
znf536	0	2	floor_plate	neural_telencephalon	unassigned
aimp1b	6	5	muscle	fast_muscle	unassigned
efhd2	1	0	epidermis	enteric_neurons	unassigned
hs3st3b1a	4	7	hemangioblasts	spinal_cord	unassigned
unc13ba	0	1	neural_telencephalon	enteric_neurons	unassigned
veph1	0	2	spinal_cord	neural	unassigned
ank1b	0	1	differentiating_neurons	hematopoietic_vasculature	unassigned
lrrc10	5	3	heart_myocardium	pronephros	unassigned
znrf3	1	0	midbrain_hindbrain_boundary	neurons	unassigned
klhl31	6	5	muscle	fast_muscle	unassigned
qdpra	0	2	neural_crest	differentiating_neurons	unassigned
niban2a	5	3	epidermis	hematopoietic_vasculature	unassigned
slc9a3r1a	1	0	neural_telencephalon	heart_myocardium	unassigned
cart4	4	2	enteric_neurons	hatching_gland	unassigned
spon1a	0	2	hatching_gland	neural_posterior	unassigned
pcsk1nl	0	1	differentiating_neurons	enteric_neurons	unassigned
tubb5	1	0	enteric_neurons	differentiating_neurons	unassigned
fam210b	1	11	hemangioblasts	heart_myocardium	unassigned
BX908804.3	2	6	somites	notochord	unassigned
emp2	5	3	somites	muscle	unassigned
wdr66	8	10	notochord	NMPs	unassigned
hoxa13a	4	2	NMPs	tail_bud	unassigned
syne1b	0	1	floor_plate	differentiating_neurons	unassigned
si:ch73-46n24.1	1	0	notochord	hematopoietic_vasculature	unassigned
tmsb1	1	0	epidermis	endocrine_pancreas	unassigned
tmtopsb	9	3	muscle	neural	unassigned
prkg1b	0	1	heart_myocardium	endoderm	unassigned
foxc1a	3	4	PSM	lateral_plate_mesoderm	unassigned
gas7a	8	10	notochord	midbrain_hindbrain_boundary	unassigned
fhdc5	4	7	hemangioblasts	pharyngeal_arches	unassigned
vwa2	6	5	muscle	hematopoietic_vasculature	unassigned
arhgap21a	0	2	enteric_neurons	differentiating_neurons	unassigned
nfatc3a	1	0	hatching_gland	epidermis	unassigned
dao.2	2	6	NMPs	hatching_gland	unassigned
arl4ca	2	9	endoderm	pronephros	unassigned
pcolce2b	0	1	spinal_cord	differentiating_neurons	unassigned
tgfbr3	5	3	pharyngeal_arches	neural	unassigned
bin1a	8	10	differentiating_neurons	notochord	unassigned
dnah11	7	13	spinal_cord	notochord	unassigned
kcnn3	6	5	spinal_cord	fast_muscle	unassigned
foxa2	8	10	notochord	endocrine_pancreas	unassigned
si:ch73-22o12.1	1	2	heart_myocardium	pronephros	unassigned
si:dkey-11p23.7	4	1	tail_bud	differentiating_neurons	unassigned
dgkh	1	0	muscle	PSM	unassigned
samd7	2	6	hatching_gland	hematopoietic_vasculature	unassigned
nkx3-2	5	3	heart_myocardium	pharyngeal_arches	unassigned
thrap3a	6	5	muscle	fast_muscle	unassigned
arhgap29a	1	2	spinal_cord	endocrine_pancreas	unassigned
col7a1l	1	0	neurons	pronephros	unassigned
RAMP1	1	5	hindbrain	epidermis	unassigned
glcci1a	4	7	hemangioblasts	hematopoietic_vasculature	unassigned
hhipl2	8	10	tail_bud	notochord	unassigned
hmx2	0	1	optic_cup	differentiating_neurons	unassigned
cxcl18b	5	3	pronephros	lateral_plate_mesoderm	unassigned
agbl4.1	0	1	differentiating_neurons	enteric_neurons	unassigned
grapa	4	7	hematopoietic_vasculature	optic_cup	unassigned
ppp1r1b	2	9	hatching_gland	epidermis	unassigned
dkc1	1	11	hemangioblasts	somites	unassigned
il17rd	3	4	NMPs	tail_bud	unassigned
kif16bb	2	6	neural_telencephalon	muscle	unassigned
drd2b	0	3	notochord	enteric_neurons	unassigned
rps2	1	11	PSM	midbrain_hindbrain_boundary	unassigned
drgx	0	1	enteric_neurons	differentiating_neurons	unassigned
map3k8	8	10	hematopoietic_vasculature	hemangioblasts	unassigned
chl1a	0	2	neural_telencephalon	floor_plate	unassigned
eif3jb	1	11	hatching_gland	hemangioblasts	unassigned
cyth1b	1	0	hatching_gland	neural_crest	unassigned
mtss1	1	0	fast_muscle	somites	unassigned
gli2a	1	0	fast_muscle	PSM	unassigned
mt-co2	1	11	optic_cup	neural_crest	unassigned
si:dkey-52j6.3	2	9	endoderm	pronephros	unassigned
