	leiden_v1_r0.5	leiden_v2_r0.7	celltype1	celltype2	manual_annotation
tcf7l1a	1	0	notochord	PSM	unassigned
DAB2	5	3	hemangioblasts	somites	unassigned
ankrd33ab	2	9	heart_myocardium	epidermis	unassigned
cavin2b	2	9	epidermis	spinal_cord	unassigned
si:ch211-202p1.5	3	4	neural_optic	enteric_neurons	unassigned
si:dkey-11o15.7	7	8	heart_myocardium	hematopoietic_vasculature	unassigned
baiap2l2a	7	13	pronephros	hemangioblasts	unassigned
si:ch211-263k4.2	0	2	neural_optic	neural_telencephalon	unassigned
cacna1ha	6	5	muscle	differentiating_neurons	unassigned
cep131	0	2	differentiating_neurons	neurons	unassigned
prdm8b	6	5	enteric_neurons	muscle	unassigned
rfesd	4	7	hemangioblasts	hematopoietic_vasculature	unassigned
rpz5	4	2	neural	lateral_plate_mesoderm	unassigned
plce1	1	0	notochord	endoderm	unassigned
smyd2b	6	5	muscle	fast_muscle	unassigned
cped1	6	5	muscle	lateral_plate_mesoderm	unassigned
tmem47	0	2	floor_plate	neural_posterior	unassigned
scn4ab	6	5	somites	fast_muscle	unassigned
gpc1a	0	1	neurons	differentiating_neurons	unassigned
sash1a	1	0	endocrine_pancreas	NMPs	unassigned
otpa	0	2	differentiating_neurons	neural_telencephalon	unassigned
mxra5a	0	1	enteric_neurons	epidermis	unassigned
si:ch211-272n13.3	1	11	hindbrain	NMPs	unassigned
mllt11	0	1	enteric_neurons	differentiating_neurons	unassigned
dnajc3a	2	6	hatching_gland	notochord	unassigned
si:ch211-110e21.3	7	8	notochord	floor_plate	unassigned
zgc:110540	1	11	somites	hindbrain	unassigned
zic3	1	11	PSM	neural	unassigned
slc22a7a	9	12	enteric_neurons	notochord	unassigned
mid1ip1b	1	11	neural_telencephalon	midbrain_hindbrain_boundary	unassigned
gpat2	8	10	notochord	floor_plate	unassigned
si:ch211-122h15.4	5	3	hatching_gland	notochord	unassigned
cyp1b1	7	8	epidermis	hematopoietic_vasculature	unassigned
tent5ab	9	12	epidermis	hematopoietic_vasculature	unassigned
kif5c	0	1	floor_plate	differentiating_neurons	unassigned
ptprdb	0	1	enteric_neurons	somites	unassigned
gp1bb	4	7	hemangioblasts	differentiating_neurons	unassigned
cxcl12a	1	11	pronephros	pharyngeal_arches	unassigned
rbm47	5	3	pronephros	endoderm	unassigned
unc5db	5	3	pronephros	endoderm	unassigned
adrb3b	2	9	endoderm	hemangioblasts	unassigned
si:dkey-43p13.5	2	9	endocrine_pancreas	somites	unassigned
si:dkey-71d15.2	6	5	muscle	neural	unassigned
zgc:153405	1	11	hindbrain	neural_optic	unassigned
cryba2b	4	7	endocrine_pancreas	hindbrain	unassigned
sall3b	8	10	notochord	floor_plate	unassigned
